2026-04-14 15:23:46 | START | Vehicle: 1714 | Direction: 3 | Location: {'lat': 47, 'lon': 16.513891}
2026-04-14 15:35:33 | START | Jármű: 1714 | Vonal: 3 | Cél: Stará osada
2026-04-14 16:00:11 | END   | Jármű: 1714 | Vonal: 3 | Cél: Stará osada
2026-04-14 16:00:11 | START | Jármű: 1714 | Vonal: 3 | Cél: Bystrc, Ečerova
2026-04-14 16:10:08 | START | Jármű: 1714 | Vonal: 3 | Cél: Bystrc, Ečerova
2026-04-14 16:22:56 | START | Jármű: 1714 | Vonal: 3 | Cél: Bystrc, Ečerova
2026-04-14 16:44:02 | END   | Jármű: 1714 | Vonal: 3 | Cél: Bystrc, Ečerova
2026-04-14 16:44:02 | START | Jármű: 1714 | Vonal: 3 | Cél: Stará osada
2026-04-14 17:25:12 | END   | Jármű: 1714 | Vonal: 3 | Cél: Stará osada
2026-04-14 17:25:12 | START | Jármű: 1714 | Vonal: 3 | Cél: Bystrc, Ečerova
2026-04-14 18:23:26 | END   | Jármű: 1714 | Vonal: 3 | Cél: Bystrc, Ečerova
2026-04-14 18:23:26 | START | Jármű: 1714 | Vonal: 3 | Cél: Stará osada
