2026-04-14 15:42:05 | START | Jármű: 3630 | Vonal: 27 | Cél: Stará osada
2026-04-14 16:02:41 | END   | Jármű: 3630 | Vonal: 27 | Cél: Stará osada
2026-04-14 16:02:41 | START | Jármű: 3630 | Vonal: 27 | Cél: Líšeň, Jírova
2026-04-14 16:10:08 | START | Jármű: 3630 | Vonal: 27 | Cél: Líšeň, Jírova
2026-04-14 16:22:56 | START | Jármű: 3630 | Vonal: 27 | Cél: Líšeň, Jírova
2026-04-14 16:29:58 | END   | Jármű: 3630 | Vonal: 27 | Cél: Líšeň, Jírova
2026-04-14 16:29:58 | START | Jármű: 3630 | Vonal: 27 | Cél: Stará osada
2026-04-14 17:05:37 | END   | Jármű: 3630 | Vonal: 27 | Cél: Stará osada
2026-04-14 17:05:37 | START | Jármű: 3630 | Vonal: 27 | Cél: Líšeň, Jírova
2026-04-14 17:25:12 | END   | Jármű: 3630 | Vonal: 27 | Cél: Líšeň, Jírova
2026-04-14 17:25:12 | START | Jármű: 3630 | Vonal: 27 | Cél: Stará osada
2026-04-14 17:58:20 | END   | Jármű: 3630 | Vonal: 27 | Cél: Stará osada
2026-04-14 17:58:20 | START | Jármű: 3630 | Vonal: 27 | Cél: Líšeň, Jírova
2026-04-14 18:20:25 | END   | Jármű: 3630 | Vonal: 27 | Cél: Líšeň, Jírova
2026-04-14 18:20:25 | START | Jármű: 3630 | Vonal: 27 | Cél: Stará osada
