2026-04-14 15:37:04 | START | Jármű: 21711 | Vonal: 210 | Cél: Bílovice n/S, žel.st.
2026-04-14 15:55:09 | END   | Jármű: 21711 | Vonal: 210 | Cél: Bílovice n/S, žel.st.
2026-04-14 15:55:09 | START | Jármű: 21711 | Vonal: 210 | Cél: Babice n/S, horní zastávka
2026-04-14 16:10:08 | START | Jármű: 21711 | Vonal: 210 | Cél: Babice n/S, horní zastávka
2026-04-14 16:19:40 | END   | Jármű: 21711 | Vonal: 210 | Cél: Babice n/S, horní zastávka
2026-04-14 16:19:40 | START | Jármű: 21711 | Vonal: 210 | Cél: Bílovice n/S, žel.st.
2026-04-14 16:22:56 | START | Jármű: 21711 | Vonal: 210 | Cél: Bílovice n/S, žel.st.
2026-04-14 16:41:31 | END   | Jármű: 21711 | Vonal: 210 | Cél: Bílovice n/S, žel.st.
2026-04-14 16:41:31 | START | Jármű: 21711 | Vonal: 210 | Cél: Babice n/S, horní zastávka
2026-04-14 17:06:07 | END   | Jármű: 21711 | Vonal: 210 | Cél: Babice n/S, horní zastávka
2026-04-14 17:06:07 | START | Jármű: 21711 | Vonal: 210 | Cél: Bílovice n/S, žel.st.
2026-04-14 17:18:10 | END   | Jármű: 21711 | Vonal: 210 | Cél: Bílovice n/S, žel.st.
2026-04-14 17:21:41 | START | Jármű: 21711 | Vonal: 210 | Cél: Bílovice n/S, žel.st.
2026-04-14 17:41:16 | END   | Jármű: 21711 | Vonal: 210 | Cél: Bílovice n/S, žel.st.
2026-04-14 17:41:16 | START | Jármű: 21711 | Vonal: 210 | Cél: Babice n/S, horní zastávka
2026-04-14 18:09:23 | END   | Jármű: 21711 | Vonal: 210 | Cél: Babice n/S, horní zastávka
