2026-04-14 15:49:38 | START | Jármű: 21121 | Vonal: 430 | Cél: Zastávka, žel.st.
2026-04-14 16:10:08 | START | Jármű: 21121 | Vonal: 430 | Cél: Zastávka, žel.st.
2026-04-14 16:22:56 | START | Jármű: 21121 | Vonal: 430 | Cél: Zastávka, žel.st.
2026-04-14 16:43:32 | END   | Jármű: 21121 | Vonal: 430 | Cél: Zastávka, žel.st.
2026-04-14 16:43:32 | START | Jármű: 21121 | Vonal: 430 | Cél: Ivančice, náměstí
2026-04-14 16:51:04 | END   | Jármű: 21121 | Vonal: 430 | Cél: Ivančice, náměstí
2026-04-14 17:01:06 | START | Jármű: 21121 | Vonal: 430 | Cél: Ivančice, náměstí
2026-04-14 17:12:09 | END   | Jármű: 21121 | Vonal: 430 | Cél: Ivančice, náměstí
2026-04-14 17:13:39 | START | Jármű: 21121 | Vonal: 430 | Cél: Ivančice, náměstí
2026-04-14 18:13:24 | END   | Jármű: 21121 | Vonal: 430 | Cél: Ivančice, náměstí
2026-04-14 18:13:24 | START | Jármű: 21121 | Vonal: 430 | Cél: Zastávka, žel.st.
2026-04-14 18:23:56 | END   | Jármű: 21121 | Vonal: 430 | Cél: Zastávka, žel.st.
