2026-03-30 11:42:52 - ID 44001 - Vonal 440 - Rakšice, rest.
2026-03-30 11:47:52 - ID 44001 - Vonal 440 - Rakšice, rest.
2026-03-30 11:52:52 - ID 44001 - Vonal 440 - Rakšice, rest.
2026-03-30 11:57:52 - ID 44001 - Vonal 440 - Rakšice, rest.
2026-03-30 12:03:22 - ID 44001 - Vonal 440 - Mor. Krumlov, prům. zóna
2026-03-30 12:08:52 - ID 44001 - Vonal 440 - Mor. Krumlov, prům. zóna
2026-03-30 12:14:22 - ID 44001 - Vonal 440 - Mor. Krumlov, prům. zóna
2026-03-30 13:09:52 - ID 44001 - Vonal 440 - Mor. Krumlov, prům. zóna
2026-03-30 13:15:22 - ID 44001 - Vonal 440 - Mor. Krumlov, prům. zóna
2026-03-30 13:20:22 - ID 44001 - Vonal 440 - Mor. Krumlov, prům. zóna
2026-03-30 13:25:52 - ID 44001 - Vonal 440 - Mor. Krumlov, prům. zóna
2026-03-30 13:31:22 - ID 44001 - Vonal 440 - Mor. Krumlov, prům. zóna
2026-03-30 13:36:52 - ID 44001 - Vonal 440 - Mor. Krumlov, prům. zóna
2026-03-30 13:41:52 - ID 44001 - Vonal 440 - Mor. Krumlov, ž.s.
2026-03-30 14:09:22 - ID 44001 - Vonal 440 - Mor. Krumlov, ž.s.
2026-03-30 14:14:22 - ID 44001 - Vonal 440 - Mor. Krumlov, ž.s.
2026-03-30 14:19:22 - ID 44001 - Vonal 440 - Mor. Krumlov, ž.s.
2026-03-30 14:24:22 - ID 44001 - Vonal 440 - Mor. Krumlov, ž.s.
2026-03-30 14:29:52 - ID 44001 - Vonal 440 - Mor. Krumlov, ž.s.
2026-03-30 14:35:22 - ID 44001 - Vonal 440 - Mor. Krumlov, ž.s.
2026-04-10 11:54:35 - ID 44001 - Vonal 440 - Rakšice, rest.
2026-04-10 11:59:55 - ID 44001 - Vonal 440 - Rakšice, rest.
