2026-03-30 12:41:23 - ID 40505 - Vonal 431 - Hrubšice
2026-03-30 12:46:23 - ID 40505 - Vonal 431 - Hrubšice
2026-03-30 12:51:53 - ID 40505 - Vonal 431 - Hrubšice
2026-03-30 12:57:23 - ID 40505 - Vonal 431 - Hrubšice
2026-03-30 13:02:53 - ID 40505 - Vonal 431 - Ivančice, náměstí
2026-03-30 13:11:53 - ID 40505 - Vonal 431 - Ivančice, náměstí
2026-03-30 13:17:22 - ID 40505 - Vonal 431 - Ivančice, náměstí
2026-03-30 13:22:23 - ID 40505 - Vonal 431 - Ivančice, náměstí
2026-03-30 13:27:52 - ID 40505 - Vonal 431 - Ivančice, náměstí
2026-03-30 13:33:23 - ID 40505 - Vonal 154 - Ořechov, Jeř.
2026-03-30 13:51:53 - ID 40505 - Vonal 154 - Ořechov, Jeř.
2026-03-30 13:57:23 - ID 40505 - Vonal 154 - Ořechov, Jeř.
2026-03-30 14:02:53 - ID 40505 - Vonal 154 - Ořechov, Jeř.
2026-03-30 14:07:53 - ID 40505 - Vonal 154 - Ořechov, Jeř.
2026-03-30 14:13:23 - ID 40505 - Vonal 154 - Ořechov, Jeř.
2026-03-30 14:18:24 - ID 40505 - Vonal 154 - Ořechov, Jeř.
2026-03-30 14:23:53 - ID 40505 - Vonal 510 - Modřice, žel.st.
2026-03-30 14:28:53 - ID 40505 - Vonal 510 - Modřice, žel.st.
2026-03-30 14:33:54 - ID 40505 - Vonal 510 - Modřice, žel.st.
2026-03-30 14:39:23 - ID 40505 - Vonal 510 - Modřice, žel.st.
2026-03-30 14:44:53 - ID 40505 - Vonal 512 - Dolní Kounice, Masarykovo nám.
2026-03-30 14:49:54 - ID 40505 - Vonal 512 - Dolní Kounice, Masarykovo nám.
2026-04-10 11:54:34 - ID 40503 - Vonal 504 - Pohořelice, náměstí
2026-04-10 11:59:55 - ID 40503 - Vonal 504 - Pohořelice, náměstí
