2026-03-30 11:50:22 - ID 42101 - Vonal 421 - Lukovany, točna
2026-03-30 11:55:22 - ID 42101 - Vonal 421 - Lukovany, točna
2026-03-30 12:00:22 - ID 42101 - Vonal 421 - Lukovany, točna
2026-03-30 12:05:52 - ID 42101 - Vonal 421 - Zastávka, žel.st.
2026-03-30 12:11:22 - ID 42101 - Vonal 421 - Zastávka, žel.st.
2026-03-30 12:16:22 - ID 42101 - Vonal 421 - Zastávka, žel.st.
2026-03-30 12:21:52 - ID 42101 - Vonal 421 - Zastávka, žel.st.
2026-03-30 12:26:52 - ID 42101 - Vonal 421 - Zastávka, žel.st.
2026-03-30 12:32:22 - ID 42101 - Vonal 421 - Zastávka, žel.st.
2026-03-30 12:37:22 - ID 42101 - Vonal 421 - Lukovany, točna
2026-03-30 12:42:52 - ID 42101 - Vonal 421 - Lukovany, točna
2026-03-30 13:17:22 - ID 42101 - Vonal 421 - Lukovany, točna
2026-03-30 13:22:22 - ID 42101 - Vonal 421 - Lukovany, točna
2026-03-30 13:27:52 - ID 42101 - Vonal 421 - Lukovany, točna
2026-03-30 13:33:22 - ID 42101 - Vonal 421 - Lukovany, točna
2026-03-30 13:38:22 - ID 42101 - Vonal 421 - Lukovany, točna
2026-03-30 13:43:22 - ID 42101 - Vonal 421 - Zastávka, žel.st.
2026-03-30 14:20:22 - ID 42101 - Vonal 421 - Zastávka, žel.st.
2026-03-30 14:25:22 - ID 42101 - Vonal 421 - Zastávka, žel.st.
2026-03-30 14:30:52 - ID 42101 - Vonal 421 - Zastávka, žel.st.
2026-03-30 14:36:22 - ID 42101 - Vonal 421 - Lukovany, točna
2026-03-30 14:42:22 - ID 42101 - Vonal 421 - Lukovany, točna
2026-03-30 14:47:52 - ID 42101 - Vonal 421 - Lukovany, točna
2026-04-08 20:18:52 - ID 42101 - Vonal 421 - Zastávka, žel.st.
2026-04-08 20:20:16 - ID 42101 - Vonal 421 - Zastávka, žel.st.
2026-04-08 20:21:28 - ID 42101 - Vonal 421 - Zastávka, žel.st.
2026-04-10 11:54:25 - ID 42101 - Vonal 421 - Lukovany, točna
2026-04-10 11:59:54 - ID 42101 - Vonal 421 - Lukovany, točna
