2026-03-30 11:41:22 - ID 80301 - Vonal 803 - Znojmo, a.n.
2026-03-30 11:46:52 - ID 80301 - Vonal 803 - Znojmo, Pražská
2026-03-30 12:12:52 - ID 80301 - Vonal 803 - Znojmo, Pražská
2026-03-30 12:17:52 - ID 80301 - Vonal 803 - Znojmo, Pražská
2026-03-30 12:23:22 - ID 80301 - Vonal 803 - Znojmo, Pražská
2026-03-30 12:28:52 - ID 80301 - Vonal 803 - Znojmo, a.n.
2026-03-30 12:34:22 - ID 80301 - Vonal 803 - Znojmo, a.n.
2026-03-30 12:39:22 - ID 80301 - Vonal 803 - Znojmo, a.n.
2026-03-30 12:44:52 - ID 80301 - Vonal 803 - Znojmo, Nemocnice
2026-03-30 12:49:52 - ID 80301 - Vonal 803 - Znojmo, Nemocnice
2026-03-30 12:54:52 - ID 80301 - Vonal 803 - Znojmo, Nemocnice
2026-03-30 13:21:52 - ID 80301 - Vonal 803 - Znojmo, Nemocnice
2026-03-30 13:27:22 - ID 80301 - Vonal 803 - Znojmo, Nemocnice
2026-03-30 13:32:52 - ID 80301 - Vonal 803 - Znojmo, Nemocnice
2026-03-30 13:37:52 - ID 80301 - Vonal 803 - Znojmo, Nemocnice
2026-03-30 13:42:52 - ID 80301 - Vonal 803 - Znojmo, Nemocnice
2026-03-30 13:48:22 - ID 80301 - Vonal 803 - Dobšice, pož.z.
2026-03-30 13:53:52 - ID 80301 - Vonal 803 - Dobšice, pož.z.
2026-03-30 13:58:52 - ID 80301 - Vonal 803 - Dobšice, pož.z.
2026-03-30 14:04:22 - ID 80301 - Vonal 803 - Dobšice, pož.z.
2026-03-30 14:09:22 - ID 80301 - Vonal 803 - Dobšice, pož.z.
2026-03-30 14:14:52 - ID 80301 - Vonal 803 - Dobšice, pož.z.
2026-03-30 14:20:22 - ID 80301 - Vonal 803 - Dobšice, pož.z.
2026-03-30 14:25:22 - ID 80301 - Vonal 803 - Znojmo, Nemocnice
2026-03-30 14:30:52 - ID 80301 - Vonal 803 - Znojmo, Nemocnice
2026-03-30 14:36:22 - ID 80301 - Vonal 803 - Znojmo, Nemocnice
2026-03-30 14:41:52 - ID 80301 - Vonal 803 - Znojmo, Nemocnice
2026-03-30 14:46:52 - ID 80301 - Vonal 803 - Znojmo, Nemocnice
