2026-03-30 12:30:22 - ID 67201 - Vonal 671 - Kyjov, nem.
2026-03-30 12:35:52 - ID 67201 - Vonal 671 - Kyjov, nem.
2026-03-30 12:41:22 - ID 67201 - Vonal 671 - Kyjov, nem.
2026-03-30 12:46:22 - ID 67201 - Vonal 671 - Kyjov, nem.
2026-03-30 12:51:52 - ID 67201 - Vonal 671 - Kyjov, nem.
2026-03-30 12:56:52 - ID 67201 - Vonal 673 - Kyjov, traktorka
2026-03-30 13:17:22 - ID 67201 - Vonal 673 - Kyjov, traktorka
2026-03-30 13:22:22 - ID 67201 - Vonal 673 - Kyjov, traktorka
2026-03-30 13:27:52 - ID 67201 - Vonal 673 - Kyjov, traktorka
2026-03-30 13:33:22 - ID 67201 - Vonal 673 - Kyjov, traktorka
2026-03-30 13:38:22 - ID 67201 - Vonal 673 - Kyjov, traktorka
2026-03-30 13:43:22 - ID 67201 - Vonal 673 - Kyjov, traktorka
2026-03-30 13:48:52 - ID 67201 - Vonal 673 - Kyjov, traktorka
2026-03-30 14:13:22 - ID 67201 - Vonal 673 - Kyjov, traktorka
2026-03-30 14:18:22 - ID 67201 - Vonal 673 - Kyjov, nem.
2026-03-30 14:23:52 - ID 67201 - Vonal 673 - Kyjov, nem.
2026-03-30 14:29:22 - ID 67201 - Vonal 673 - Kyjov, nem.
2026-03-30 14:34:52 - ID 67201 - Vonal 673 - Kyjov, nem.
2026-03-30 14:40:22 - ID 67201 - Vonal 673 - Kyjov, nem.
2026-03-30 14:45:52 - ID 67201 - Vonal 673 - Kyjov, traktorka
2026-03-30 14:51:22 - ID 67201 - Vonal 673 - Kyjov, traktorka
