2026-03-30 12:20:23 - ID 54101 - Vonal 541 - V. Hostěrádky, ObÚ
2026-03-30 12:25:23 - ID 54101 - Vonal 541 - V. Hostěrádky, ObÚ
2026-03-30 12:30:23 - ID 54101 - Vonal 541 - V. Hostěrádky, ObÚ
2026-03-30 12:35:23 - ID 54101 - Vonal 541 - V. Hostěrádky, ObÚ
2026-03-30 12:40:53 - ID 54101 - Vonal 541 - V. Hostěrádky, ObÚ
2026-03-30 12:46:23 - ID 54101 - Vonal 541 - V. Hostěrádky, ObÚ
2026-03-30 12:51:53 - ID 54101 - Vonal 541 - V. Hostěrádky, ObÚ
2026-03-30 12:57:23 - ID 54101 - Vonal 541 - V. Hostěrádky, ObÚ
2026-03-30 13:02:53 - ID 54101 - Vonal 541 - V. Hostěrádky, ObÚ
2026-03-30 13:08:23 - ID 54101 - Vonal 541 - V. Hostěrádky, ObÚ
2026-03-30 13:13:23 - ID 54101 - Vonal 541 - V. Hostěrádky, ObÚ
2026-03-30 13:18:53 - ID 54101 - Vonal 541 - V. Hostěrádky, ObÚ
2026-03-30 13:24:23 - ID 54101 - Vonal 541 - V. Hostěrádky, ObÚ
2026-03-30 13:29:53 - ID 54101 - Vonal 541 - V. Hostěrádky, ObÚ
2026-03-30 13:37:23 - ID 54101 - Vonal 541 - Hustopeče, a.n.
2026-03-30 13:42:23 - ID 54101 - Vonal 541 - Hustopeče, a.n.
2026-03-30 13:47:24 - ID 54101 - Vonal 541 - Hustopeče, a.n.
2026-03-30 13:52:54 - ID 54101 - Vonal 541 - Hustopeče, a.n.
2026-03-30 13:58:23 - ID 54101 - Vonal 541 - Hustopeče, a.n.
2026-03-30 14:03:53 - ID 54101 - Vonal 541 - Hustopeče, a.n.
2026-03-30 14:08:54 - ID 54101 - Vonal 541 - Hustopeče, a.n.
2026-03-30 14:14:24 - ID 54101 - Vonal 541 - Hustopeče, a.n.
2026-03-30 14:19:54 - ID 54101 - Vonal 541 - Hustopeče, a.n.
2026-03-30 14:24:54 - ID 54101 - Vonal 541 - Hustopeče, a.n.
2026-03-30 14:30:24 - ID 54101 - Vonal 541 - Hustopeče, a.n.
2026-03-30 14:35:24 - ID 54101 - Vonal 541 - Hustopeče, a.n.
2026-03-30 14:45:24 - ID 54101 - Vonal 543 - Šakvice, ObÚ
2026-03-30 14:50:54 - ID 54101 - Vonal 543 - Šakvice, ObÚ
