2026-03-30 12:13:52 - ID 31206 - Vonal 312 - Kuřim, TE
2026-03-30 12:18:53 - ID 31206 - Vonal 312 - Kuřim, TE
2026-03-30 12:23:53 - ID 31206 - Vonal 312 - Kuřim, TE
2026-03-30 12:40:23 - ID 31206 - Vonal 312 - Kuřim, TE
2026-03-30 12:45:23 - ID 31206 - Vonal 312 - Kuřim, TE
2026-03-30 12:50:53 - ID 31206 - Vonal 312 - Kuřim, TE
2026-03-30 12:56:23 - ID 31206 - Vonal 312 - Kuřim, TE
2026-03-30 13:01:53 - ID 31206 - Vonal 312 - Kuřim, TE
2026-03-30 13:07:23 - ID 31206 - Vonal 312 - Kuřim, TE
2026-03-30 13:12:53 - ID 31206 - Vonal 312 - Kuřim, TE
2026-03-30 13:18:22 - ID 31206 - Vonal 312 - Kuřim, TE
2026-03-30 13:23:52 - ID 31206 - Vonal 312 - Kuřim, TE
2026-03-30 13:28:52 - ID 31206 - Vonal 312 - Kuřim, TE
2026-03-30 13:33:52 - ID 31206 - Vonal 312 - Kuřim, TE
2026-03-30 13:38:53 - ID 31206 - Vonal 312 - Kuřim, TE
2026-03-30 13:43:53 - ID 31206 - Vonal 312 - Kuřim, TE
2026-03-30 13:48:53 - ID 31206 - Vonal 312 - Tišnov, žel.st.
2026-03-30 14:14:23 - ID 31206 - Vonal 312 - Tišnov, žel.st.
2026-03-30 14:19:23 - ID 31206 - Vonal 312 - Tišnov, žel.st.
2026-03-30 14:24:53 - ID 31206 - Vonal 312 - Tišnov, žel.st.
2026-03-30 14:30:23 - ID 31206 - Vonal 312 - Tišnov, žel.st.
2026-03-30 14:35:23 - ID 31206 - Vonal 312 - Tišnov, žel.st.
2026-03-30 14:40:52 - ID 31206 - Vonal 312 - Tišnov, žel.st.
2026-03-30 14:45:53 - ID 31206 - Vonal 312 - Tišnov, žel.st.
2026-03-30 14:51:23 - ID 31206 - Vonal 312 - Tišnov, žel.st.
