2026-03-30 11:51:53 - ID 44401 - Vonal 811 - Višňové, náměstí
2026-03-30 11:57:22 - ID 44401 - Vonal 811 - Višňové, náměstí
2026-03-30 12:02:23 - ID 44401 - Vonal 811 - Višňové, náměstí
2026-03-30 12:07:53 - ID 44401 - Vonal 811 - Višňové, náměstí
2026-03-30 12:13:23 - ID 44401 - Vonal 811 - Višňové, náměstí
2026-03-30 12:18:23 - ID 44401 - Vonal 811 - Višňové, náměstí
2026-03-30 12:23:53 - ID 44401 - Vonal 811 - Višňové, náměstí
2026-03-30 12:28:53 - ID 44401 - Vonal 811 - Višňové, náměstí
2026-03-30 12:34:23 - ID 44401 - Vonal 811 - Višňové, náměstí
2026-03-30 12:39:23 - ID 44401 - Vonal 811 - Višňové, náměstí
2026-03-30 12:54:23 - ID 44401 - Vonal 158 - Hrušovany n/J., VÚPP
2026-03-30 12:59:53 - ID 44401 - Vonal 158 - Hrušovany n/J., VÚPP
2026-03-30 13:04:53 - ID 44401 - Vonal 158 - Hrušovany n/J., VÚPP
2026-03-30 13:10:23 - ID 44401 - Vonal 158 - Hrušovany n/J., VÚPP
2026-03-30 13:15:53 - ID 44401 - Vonal 158 - Hrušovany n/J., VÚPP
2026-03-30 13:20:53 - ID 44401 - Vonal 158 - Hrušovany n/J., VÚPP
2026-03-30 13:26:22 - ID 44401 - Vonal 158 - Hrušovany n/J., VÚPP
2026-03-30 13:31:22 - ID 44401 - Vonal 158 - Hrušovany n/J., VÚPP
2026-03-30 13:36:52 - ID 44401 - Vonal 158 - Hrušovany n/J., VÚPP
2026-03-30 13:41:53 - ID 44401 - Vonal 158 - Hrušovany n/J., VÚPP
2026-03-30 13:46:53 - ID 44401 - Vonal 158 - Hrušovany n/J., VÚPP
2026-03-30 13:52:23 - ID 44401 - Vonal 158 - Hrušovany n/J., VÚPP
2026-03-30 13:57:23 - ID 44401 - Vonal 158 - Hrušovany n/J., VÚPP
2026-03-30 14:04:22 - ID 44401 - Vonal 158 - Hrušovany n/J., VÚPP
2026-03-30 14:09:23 - ID 44401 - Vonal 158 - Hrušovany n/J., VÚPP
2026-03-30 14:14:23 - ID 44401 - Vonal 158 - Hrušovany n/J., VÚPP
2026-03-30 14:19:23 - ID 44401 - Vonal 158 - Hrušovany n/J., VÚPP
2026-03-30 14:24:23 - ID 44401 - Vonal 158 - Hrušovany n/J., VÚPP
2026-03-30 14:29:53 - ID 44401 - Vonal 822 - Hrušovany n/J., DAPO
2026-03-30 14:34:53 - ID 44401 - Vonal 158 - Tavíkovice, host.
2026-03-30 14:40:23 - ID 44401 - Vonal 158 - Tavíkovice, host.
2026-03-30 14:45:23 - ID 44401 - Vonal 158 - Tavíkovice, host.
2026-03-30 14:50:53 - ID 44401 - Vonal 158 - Tavíkovice, host.
2026-04-08 20:15:19 - ID 44401 - Vonal 811 - Znojmo, a.n.
2026-04-08 20:18:52 - ID 44401 - Vonal 811 - Znojmo, a.n.
2026-04-08 20:20:17 - ID 44401 - Vonal 811 - Znojmo, a.n.
2026-04-08 20:21:28 - ID 44401 - Vonal 811 - Znojmo, a.n.
2026-04-10 11:54:26 - ID 44401 - Vonal 811 - Višňové, náměstí
2026-04-10 11:59:54 - ID 44401 - Vonal 811 - Višňové, náměstí
