2026-03-30 12:42:22 - ID 42002 - Vonal 420 - Velká Bíteš, PBS
2026-03-30 12:47:22 - ID 42002 - Vonal 420 - Velká Bíteš, PBS
2026-03-30 12:52:52 - ID 42002 - Vonal 420 - Velká Bíteš, PBS
2026-03-30 12:57:52 - ID 42002 - Vonal 420 - Velká Bíteš, PBS
2026-03-30 13:03:22 - ID 42002 - Vonal 420 - Velká Bíteš, PBS
2026-03-30 13:08:22 - ID 42002 - Vonal 420 - Velká Bíteš, PBS
2026-03-30 13:13:22 - ID 42002 - Vonal 420 - Velká Bíteš, PBS
2026-03-30 13:18:52 - ID 42002 - Vonal 420 - Velká Bíteš, PBS
2026-03-30 13:24:22 - ID 42002 - Vonal 420 - Velká Bíteš, PBS
2026-03-30 13:29:52 - ID 42002 - Vonal 420 - Velká Bíteš, PBS
2026-03-30 13:35:22 - ID 42002 - Vonal 420 - Velká Bíteš, PBS
2026-03-30 13:40:22 - ID 42002 - Vonal 420 - Velká Bíteš, PBS
2026-03-30 13:45:22 - ID 42002 - Vonal 420 - Velká Bíteš, PBS
2026-03-30 13:50:23 - ID 42002 - Vonal 420 - Velká Bíteš, PBS
2026-03-30 13:55:52 - ID 42002 - Vonal 420 - Zastávka, žel.st.
2026-03-30 14:16:53 - ID 42002 - Vonal 420 - Zastávka, žel.st.
2026-03-30 14:22:23 - ID 42002 - Vonal 420 - Zastávka, žel.st.
2026-03-30 14:27:23 - ID 42002 - Vonal 420 - Zastávka, žel.st.
2026-03-30 14:32:23 - ID 42002 - Vonal 420 - Zastávka, žel.st.
2026-03-30 14:37:23 - ID 42002 - Vonal 420 - Zastávka, žel.st.
2026-03-30 14:42:52 - ID 42002 - Vonal 420 - Zastávka, žel.st.
2026-03-30 14:48:23 - ID 42002 - Vonal 420 - Zastávka, žel.st.
