2026-03-30 11:41:23 - ID 21501 - Vonal 215 - Adamov III, točna
2026-03-30 11:50:53 - ID 21501 - Vonal 215 - Adamov III, točna
2026-03-30 11:56:23 - ID 21501 - Vonal 215 - Adamov III, točna
2026-03-30 12:01:53 - ID 21501 - Vonal 215 - Adamov III, točna
2026-03-30 12:06:53 - ID 21501 - Vonal 215 - Horka, točna
2026-03-30 12:21:22 - ID 21501 - Vonal 215 - Horka, točna
2026-03-30 12:26:52 - ID 21501 - Vonal 215 - Horka, točna
2026-03-30 12:32:22 - ID 21501 - Vonal 215 - Horka, točna
2026-03-30 12:37:22 - ID 21501 - Vonal 215 - Horka, točna
2026-03-30 12:42:22 - ID 21501 - Vonal 215 - Horka, točna
2026-03-30 12:47:52 - ID 21501 - Vonal 215 - Adamov III, točna
2026-03-30 13:15:52 - ID 21501 - Vonal 215 - Adamov III, točna
2026-03-30 13:20:52 - ID 21501 - Vonal 215 - Adamov III, točna
2026-03-30 13:26:22 - ID 21501 - Vonal 215 - Adamov III, točna
2026-03-30 13:31:52 - ID 21501 - Vonal 215 - Adamov III, točna
2026-03-30 13:37:22 - ID 21501 - Vonal 215 - Horka, točna
2026-03-30 13:46:52 - ID 21501 - Vonal 215 - Horka, točna
2026-03-30 13:52:22 - ID 21501 - Vonal 215 - Horka, točna
2026-03-30 13:57:52 - ID 21501 - Vonal 215 - Horka, točna
2026-03-30 14:03:22 - ID 21501 - Vonal 215 - Adamov III, točna
2026-03-30 14:08:52 - ID 21501 - Vonal 215 - Adamov III, točna
2026-03-30 14:14:52 - ID 21501 - Vonal 215 - Adamov III, točna
2026-03-30 14:20:22 - ID 21501 - Vonal 215 - Adamov III, točna
2026-03-30 14:25:52 - ID 21501 - Vonal 215 - Adamov III, točna
2026-03-30 14:31:22 - ID 21501 - Vonal 215 - Adamov III, točna
2026-03-30 14:36:22 - ID 21501 - Vonal 215 - Horka, točna
2026-03-30 14:46:52 - ID 21501 - Vonal 215 - Horka, točna
