2026-03-30 11:41:22 - ID 20103 - Vonal 201 - Jedovnice, gar.ČAD
2026-03-30 11:46:52 - ID 20103 - Vonal 201 - Jedovnice, gar.ČAD
2026-03-30 11:52:22 - ID 20103 - Vonal 201 - Jedovnice, gar.ČAD
2026-03-30 11:57:52 - ID 20103 - Vonal 201 - Jedovnice, gar.ČAD
2026-03-30 12:02:52 - ID 20106 - Vonal 201 - Židenice, nádraží
2026-03-30 13:21:22 - ID 20108 - Vonal 201 - Židenice, nádraží
2026-03-30 13:26:22 - ID 20108 - Vonal 201 - Židenice, nádraží
2026-03-30 13:32:22 - ID 20108 - Vonal 201 - Židenice, nádraží
2026-03-30 13:37:22 - ID 20108 - Vonal 201 - Židenice, nádraží
2026-03-30 13:42:22 - ID 20108 - Vonal 201 - Židenice, nádraží
2026-03-30 13:47:52 - ID 20108 - Vonal 201 - Židenice, nádraží
2026-03-30 13:52:52 - ID 20108 - Vonal 201 - Židenice, nádraží
2026-03-30 13:58:22 - ID 20108 - Vonal 201 - Židenice, nádraží
2026-03-30 14:03:52 - ID 20108 - Vonal 201 - Židenice, nádraží
2026-03-30 14:08:52 - ID 20108 - Vonal 201 - Židenice, nádraží
2026-03-30 14:14:22 - ID 20108 - Vonal 201 - Židenice, nádraží
2026-03-30 14:15:22 - ID 20106 - Vonal 201 - Křtiny, náměstí
2026-03-30 14:20:52 - ID 20106 - Vonal 201 - Křtiny, náměstí
2026-03-30 14:39:52 - ID 20106 - Vonal 201 - Křtiny, náměstí
2026-03-30 14:45:22 - ID 20106 - Vonal 201 - Křtiny, náměstí
