2026-03-30 12:00:53 - ID 51302 - Vonal 513 - Jezeřany-Mar., točna
2026-03-30 12:06:23 - ID 51302 - Vonal 513 - Jezeřany-Mar., točna
2026-03-30 12:11:53 - ID 51302 - Vonal 513 - Jezeřany-Mar., točna
2026-03-30 12:17:23 - ID 51302 - Vonal 513 - Jezeřany-Mar., točna
2026-03-30 12:22:53 - ID 51302 - Vonal 513 - Jezeřany-Mar., točna
2026-03-30 12:27:53 - ID 51302 - Vonal 513 - Jezeřany-Mar., točna
2026-03-30 12:33:23 - ID 51302 - Vonal 513 - Jezeřany-Mar., točna
2026-03-30 12:38:23 - ID 51302 - Vonal 513 - Modřice, žel.st.
2026-03-30 12:43:53 - ID 51302 - Vonal 513 - Modřice, žel.st.
2026-03-30 13:32:22 - ID 51302 - Vonal 513 - Modřice, žel.st.
2026-03-30 13:37:22 - ID 51302 - Vonal 513 - Modřice, žel.st.
2026-03-30 13:42:23 - ID 51302 - Vonal 513 - Modřice, žel.st.
2026-03-30 13:47:23 - ID 51302 - Vonal 513 - Modřice, žel.st.
2026-03-30 13:52:53 - ID 51302 - Vonal 513 - Modřice, žel.st.
2026-03-30 13:58:23 - ID 51302 - Vonal 513 - Modřice, žel.st.
2026-03-30 14:03:52 - ID 51302 - Vonal 513 - Modřice, žel.st.
2026-03-30 14:08:53 - ID 51302 - Vonal 513 - Modřice, žel.st.
2026-03-30 14:14:23 - ID 51302 - Vonal 513 - Jezeřany-Mar., točna
2026-03-30 14:19:23 - ID 51302 - Vonal 513 - Jezeřany-Mar., točna
2026-03-30 14:24:23 - ID 51302 - Vonal 513 - Jezeřany-Mar., točna
2026-03-30 14:29:53 - ID 51302 - Vonal 513 - Jezeřany-Mar., točna
2026-03-30 14:34:53 - ID 51302 - Vonal 513 - Jezeřany-Mar., točna
2026-03-30 14:40:23 - ID 51302 - Vonal 513 - Jezeřany-Mar., točna
2026-03-30 14:45:23 - ID 51302 - Vonal 513 - Jezeřany-Mar., točna
2026-03-30 14:50:53 - ID 51302 - Vonal 513 - Jezeřany-Mar., točna
2026-04-08 20:15:16 - ID 51302 - Vonal 513 - Modřice, žel.st.
2026-04-08 20:18:52 - ID 51302 - Vonal 513 - Modřice, žel.st.
2026-04-08 20:20:16 - ID 51302 - Vonal 513 - Modřice, žel.st.
2026-04-08 20:21:28 - ID 51302 - Vonal 513 - Modřice, žel.st.
2026-04-10 12:02:24 - ID 51302 - Vonal 513 - Jezeřany-Mar., točna
