2026-03-30 13:02:22 - ID 72001 - Vonal 720 - Holubice, žel.st.
2026-03-30 13:07:22 - ID 72001 - Vonal 720 - Holubice, žel.st.
2026-03-30 13:21:52 - ID 72001 - Vonal 720 - Holubice, žel.st.
2026-03-30 13:27:22 - ID 72001 - Vonal 720 - Holubice, žel.st.
2026-03-30 13:32:52 - ID 72001 - Vonal 720 - Holubice, žel.st.
2026-03-30 13:37:52 - ID 72001 - Vonal 720 - Holubice, žel.st.
2026-03-30 13:42:52 - ID 72001 - Vonal 720 - Holubice, žel.st.
2026-03-30 13:48:23 - ID 72001 - Vonal 720 - Pozořice, náměstí
2026-03-30 13:53:52 - ID 72001 - Vonal 720 - Pozořice, náměstí
2026-03-30 13:58:52 - ID 72001 - Vonal 720 - Pozořice, náměstí
2026-03-30 14:04:22 - ID 72001 - Vonal 720 - Holubice, žel.st.
2026-03-30 14:09:22 - ID 72001 - Vonal 720 - Holubice, žel.st.
2026-03-30 14:17:22 - ID 72001 - Vonal 720 - Holubice, žel.st.
2026-03-30 14:22:23 - ID 72001 - Vonal 720 - Holubice, žel.st.
2026-03-30 14:31:23 - ID 72001 - Vonal 720 - Holubice, žel.st.
2026-03-30 14:36:23 - ID 72001 - Vonal 720 - Holubice, žel.st.
2026-03-30 14:41:52 - ID 72001 - Vonal 720 - Holubice, žel.st.
2026-03-30 14:46:52 - ID 72001 - Vonal 720 - Pozořice, náměstí
