2026-03-30 12:27:22 - ID 52101 - Vonal 521 - Hrušovany u B., ž.s.
2026-03-30 12:32:22 - ID 52101 - Vonal 521 - Hrušovany u B., ž.s.
2026-03-30 12:44:22 - ID 52101 - Vonal 521 - Hrušovany u B., ž.s.
2026-03-30 12:49:52 - ID 52101 - Vonal 521 - Hrušovany u B., ž.s.
2026-03-30 12:54:52 - ID 52101 - Vonal 521 - Hrušovany u B., ž.s.
2026-03-30 13:00:22 - ID 52101 - Vonal 521 - Hrušovany u B., ž.s.
2026-03-30 13:05:22 - ID 52101 - Vonal 521 - Hrušovany u B., ž.s.
2026-03-30 13:10:52 - ID 52101 - Vonal 521 - Hrušovany u B., ž.s.
2026-03-30 13:15:52 - ID 52101 - Vonal 521 - Hrušovany u B., ž.s.
2026-03-30 13:20:52 - ID 52101 - Vonal 521 - Hrušovany u B., ž.s.
2026-03-30 13:26:22 - ID 52101 - Vonal 521 - Velké Němčice, škola
2026-03-30 13:32:52 - ID 52101 - Vonal 521 - Velké Němčice, škola
2026-03-30 13:37:52 - ID 52101 - Vonal 521 - Velké Němčice, škola
2026-03-30 13:42:53 - ID 52101 - Vonal 521 - Velké Němčice, škola
2026-03-30 13:48:23 - ID 52101 - Vonal 521 - Velké Němčice, škola
2026-03-30 13:53:52 - ID 52101 - Vonal 521 - Velké Němčice, škola
2026-03-30 13:58:52 - ID 52101 - Vonal 522 - Hustopeče, a.n.
2026-03-30 14:04:22 - ID 52101 - Vonal 522 - Hustopeče, a.n.
2026-03-30 14:09:22 - ID 52101 - Vonal 522 - Hustopeče, a.n.
2026-03-30 14:14:23 - ID 52101 - Vonal 522 - Hustopeče, a.n.
2026-03-30 14:19:23 - ID 52101 - Vonal 522 - Hustopeče, a.n.
2026-03-30 14:24:53 - ID 52101 - Vonal 522 - Hustopeče, a.n.
2026-03-30 14:30:22 - ID 52101 - Vonal 521 - Hrušovany u B., ž.s.
2026-03-30 14:47:52 - ID 52101 - Vonal 521 - Hrušovany u B., ž.s.
2026-04-08 20:15:15 - ID 52101 - Vonal 522 - Hustopeče, a.n.
2026-04-08 20:18:52 - ID 52101 - Vonal 165 - Vranovice, ž.s.
2026-04-08 20:20:16 - ID 52101 - Vonal 165 - Vranovice, ž.s.
2026-04-08 20:21:28 - ID 52101 - Vonal 165 - Vranovice, ž.s.
