2026-03-30 12:10:22 - ID 51801 - Vonal BL2 - Pohořelice, náměstí
2026-03-30 12:15:52 - ID 51801 - Vonal BL2 - Pohořelice, náměstí
2026-03-30 12:20:52 - ID 51801 - Vonal BL2 - Pohořelice, náměstí
2026-03-30 12:26:22 - ID 51801 - Vonal BL2 - Pohořelice, náměstí
2026-03-30 12:31:22 - ID 51801 - Vonal BL2 - Pohořelice, náměstí
2026-03-30 12:36:22 - ID 51801 - Vonal BL2 - Pohořelice, náměstí
2026-03-30 12:41:52 - ID 51801 - Vonal BL2 - Pohořelice, náměstí
2026-03-30 13:05:22 - ID 51801 - Vonal BL2 - Blučina, CTP
2026-03-30 13:10:22 - ID 51801 - Vonal BL2 - Blučina, CTP
2026-03-30 13:15:52 - ID 51801 - Vonal BL2 - Blučina, CTP
2026-03-30 13:20:52 - ID 51801 - Vonal BL2 - Blučina, CTP
2026-03-30 13:26:22 - ID 51801 - Vonal BL2 - Blučina, CTP
2026-03-30 13:31:22 - ID 51801 - Vonal BL2 - Blučina, CTP
2026-03-30 13:36:52 - ID 51801 - Vonal BL2 - Pohořelice, náměstí
2026-03-30 14:20:22 - ID 51801 - Vonal BL2 - Pohořelice, náměstí
2026-03-30 14:25:22 - ID 51801 - Vonal BL2 - Pohořelice, náměstí
2026-03-30 14:30:52 - ID 51801 - Vonal BL2 - Pohořelice, náměstí
2026-03-30 14:36:22 - ID 51801 - Vonal BL2 - Pohořelice, náměstí
2026-03-30 14:41:52 - ID 51801 - Vonal BL2 - Blučina, CTP
2026-03-30 14:46:52 - ID 51801 - Vonal BL2 - Blučina, CTP
