2026-03-30 11:57:53 - ID 30101 - Vonal 301 - Královo Pole, nádraží
2026-03-30 12:03:23 - ID 30101 - Vonal 301 - Královo Pole, nádraží
2026-03-30 12:08:23 - ID 30101 - Vonal 301 - Královo Pole, nádraží
2026-03-30 12:13:53 - ID 30101 - Vonal 301 - Královo Pole, nádraží
2026-03-30 12:18:53 - ID 30101 - Vonal 301 - Královo Pole, nádraží
2026-03-30 12:23:53 - ID 30101 - Vonal 301 - Královo Pole, nádraží
2026-03-30 12:28:53 - ID 30101 - Vonal 301 - Královo Pole, nádraží
2026-03-30 12:34:23 - ID 30101 - Vonal 301 - Královo Pole, nádraží
2026-03-30 12:39:23 - ID 30101 - Vonal 301 - Královo Pole, nádraží
2026-03-30 12:44:53 - ID 30101 - Vonal 301 - Královo Pole, nádraží
2026-03-30 12:49:53 - ID 30101 - Vonal 301 - Královo Pole, nádraží
2026-03-30 12:54:53 - ID 30101 - Vonal 301 - Královo Pole, nádraží
2026-03-30 12:59:53 - ID 30101 - Vonal 301 - Královo Pole, nádraží
2026-03-30 13:04:53 - ID 30101 - Vonal 301 - Královo Pole, nádraží
2026-03-30 13:10:23 - ID 30101 - Vonal 301 - Královo Pole, nádraží
2026-03-30 13:15:53 - ID 30101 - Vonal 301 - Královo Pole, nádraží
2026-03-30 13:20:53 - ID 30101 - Vonal 301 - Královo Pole, nádraží
2026-03-30 13:26:23 - ID 30101 - Vonal 301 - Královo Pole, nádraží
2026-03-30 13:31:23 - ID 30101 - Vonal 301 - Královo Pole, nádraží
2026-03-30 13:36:53 - ID 30101 - Vonal 301 - Bystré, městský úřad
2026-03-30 13:52:53 - ID 30101 - Vonal 301 - Bystré, městský úřad
2026-03-30 13:58:23 - ID 30101 - Vonal 301 - Bystré, městský úřad
2026-03-30 14:03:53 - ID 30101 - Vonal 301 - Bystré, městský úřad
2026-03-30 14:08:53 - ID 30101 - Vonal 301 - Bystré, městský úřad
2026-03-30 14:14:23 - ID 30101 - Vonal 301 - Bystré, městský úřad
2026-03-30 14:19:53 - ID 30101 - Vonal 301 - Bystré, městský úřad
2026-03-30 14:24:54 - ID 30101 - Vonal 301 - Bystré, městský úřad
2026-03-30 14:30:23 - ID 30101 - Vonal 301 - Bystré, městský úřad
2026-03-30 14:35:23 - ID 30101 - Vonal 301 - Bystré, městský úřad
2026-03-30 14:40:53 - ID 30101 - Vonal 301 - Bystré, městský úřad
2026-03-30 14:45:54 - ID 30101 - Vonal 301 - Bystré, městský úřad
2026-03-30 14:51:24 - ID 30101 - Vonal 301 - Bystré, městský úřad
2026-04-10 11:57:54 - ID 30101 - Vonal 301 - Královo Pole, nádraží
