2026-03-30 13:00:23 - ID 51101 - Vonal 511 - Bobrava, střed
2026-03-30 13:05:23 - ID 51101 - Vonal 511 - Bobrava, střed
2026-03-30 13:10:23 - ID 51101 - Vonal 511 - Bobrava, střed
2026-03-30 13:15:53 - ID 51101 - Vonal 511 - Bobrava, střed
2026-03-30 13:20:53 - ID 51101 - Vonal 511 - Bobrava, střed
2026-03-30 13:26:22 - ID 51101 - Vonal 511 - Bobrava, střed
2026-03-30 13:31:22 - ID 51101 - Vonal 511 - Bobrava, střed
2026-03-30 14:05:52 - ID 51101 - Vonal 511 - Bobrava, střed
2026-03-30 14:10:52 - ID 51101 - Vonal 511 - Bobrava, střed
2026-03-30 14:15:53 - ID 51101 - Vonal 511 - Bobrava, střed
2026-03-30 14:21:23 - ID 51101 - Vonal 511 - Modřice, žel.st.
2026-03-30 14:26:23 - ID 51101 - Vonal 511 - Modřice, žel.st.
2026-03-30 14:31:53 - ID 51101 - Vonal 511 - Bobrava, střed
