2026-03-30 11:41:23 - ID 21002 - Vonal 210 - Bílovice n/S, žel.st.
2026-03-30 11:46:23 - ID 21002 - Vonal 210 - Bílovice n/S, žel.st.
2026-03-30 12:16:53 - ID 21002 - Vonal 210 - Bílovice n/S, žel.st.
2026-03-30 12:21:53 - ID 21002 - Vonal 210 - Bílovice n/S, žel.st.
2026-03-30 12:26:53 - ID 21002 - Vonal 210 - Bílovice n/S, žel.st.
2026-03-30 12:32:23 - ID 21002 - Vonal 210 - Bílovice n/S, žel.st.
2026-03-30 13:21:23 - ID 21002 - Vonal 210 - Ochoz u Brna, ObÚ
2026-03-30 13:26:52 - ID 21002 - Vonal 210 - Ochoz u Brna, ObÚ
2026-03-30 13:48:53 - ID 21002 - Vonal 210 - Ochoz u Brna, ObÚ
2026-03-30 13:54:23 - ID 21002 - Vonal 210 - Ochoz u Brna, ObÚ
2026-03-30 13:59:53 - ID 21002 - Vonal 210 - Ochoz u Brna, ObÚ
2026-03-30 14:05:23 - ID 21002 - Vonal 210 - Ochoz u Brna, ObÚ
2026-03-30 14:10:53 - ID 21002 - Vonal 210 - Ochoz u Brna, ObÚ
2026-03-30 14:25:23 - ID 21002 - Vonal 210 - Bílovice n/S, žel.st.
2026-03-30 14:30:53 - ID 21002 - Vonal 210 - Bílovice n/S, žel.st.
2026-03-30 14:35:53 - ID 21002 - Vonal 210 - Bílovice n/S, žel.st.
2026-03-30 14:41:23 - ID 21002 - Vonal 210 - Babice n/S, horní zastávka
2026-03-30 14:46:53 - ID 21002 - Vonal 210 - Babice n/S, horní zastávka
