2026-03-30 11:41:22 - ID 51402 - Vonal 514 - Blučina, náměstí
2026-03-30 11:46:52 - ID 51402 - Vonal 514 - Blučina, náměstí
2026-03-30 11:52:22 - ID 51402 - Vonal 514 - Rajhrad, žel.st.
2026-03-30 12:07:52 - ID 51402 - Vonal 514 - Rajhrad, žel.st.
2026-03-30 12:13:22 - ID 51402 - Vonal 514 - Rajhrad, žel.st.
2026-03-30 12:18:22 - ID 51402 - Vonal 514 - Rajhrad, žel.st.
2026-03-30 12:23:22 - ID 51402 - Vonal 514 - Rajhrad, žel.st.
2026-03-30 12:28:52 - ID 51402 - Vonal 514 - Židlochovice, žel.st.
2026-03-30 12:34:22 - ID 51402 - Vonal 514 - Židlochovice, žel.st.
2026-03-30 12:39:22 - ID 51402 - Vonal 514 - Židlochovice, žel.st.
2026-03-30 12:44:52 - ID 51402 - Vonal 514 - Židlochovice, žel.st.
2026-03-30 12:50:22 - ID 51402 - Vonal 514 - Židlochovice, žel.st.
2026-03-30 12:55:52 - ID 51402 - Vonal 514 - Židlochovice, žel.st.
2026-03-30 13:00:52 - ID 51402 - Vonal 514 - Rajhrad, hospic
2026-03-30 13:06:22 - ID 51402 - Vonal 514 - Rajhrad, hospic
2026-03-30 13:11:52 - ID 51402 - Vonal 514 - Rajhrad, hospic
2026-03-30 13:26:52 - ID 51402 - Vonal 514 - Rajhrad, hospic
2026-03-30 13:31:52 - ID 51402 - Vonal 514 - Rajhrad, hospic
2026-03-30 13:37:22 - ID 51402 - Vonal 514 - Rajhrad, hospic
2026-03-30 13:42:22 - ID 51402 - Vonal 514 - Rajhrad, hospic
2026-03-30 13:47:52 - ID 51402 - Vonal 514 - Rajhrad, hospic
2026-03-30 13:53:22 - ID 51402 - Vonal 514 - Rajhrad, hospic
2026-03-30 13:58:22 - ID 51402 - Vonal 514 - Rajhrad, hospic
2026-03-30 14:03:52 - ID 51402 - Vonal 514 - Židlochovice, žel.st.
2026-03-30 14:12:22 - ID 51402 - Vonal 514 - Židlochovice, žel.st.
2026-03-30 14:17:52 - ID 51402 - Vonal 514 - Židlochovice, žel.st.
2026-03-30 14:23:22 - ID 51402 - Vonal 514 - Židlochovice, žel.st.
2026-03-30 14:28:52 - ID 51402 - Vonal 514 - Židlochovice, žel.st.
2026-03-30 14:33:52 - ID 51402 - Vonal 514 - Židlochovice, žel.st.
2026-03-30 14:39:22 - ID 51402 - Vonal 514 - Židlochovice, žel.st.
2026-03-30 14:44:22 - ID 51402 - Vonal 514 - Rajhrad, žel.st.
2026-03-30 14:49:52 - ID 51402 - Vonal 514 - Rajhrad, žel.st.
2026-04-10 11:54:30 - ID 50403 - Vonal 504 - Pohořelice, náměstí
