2026-03-30 11:41:23 - ID 80102 - Vonal 801 - Kuchařovice, točna
2026-03-30 11:46:23 - ID 80102 - Vonal 801 - Kuchařovice, točna
2026-03-30 11:51:53 - ID 80102 - Vonal 801 - Kuchařovice, točna
2026-03-30 11:57:22 - ID 80102 - Vonal 801 - Kuchařovice, točna
2026-03-30 12:02:23 - ID 80102 - Vonal 801 - Kuchařovice, točna
2026-03-30 12:07:53 - ID 80102 - Vonal 801 - Kuchařovice, točna
2026-03-30 12:13:23 - ID 80102 - Vonal 801 - Znojmo, nám.Komenského
2026-03-30 12:41:23 - ID 80102 - Vonal 801 - Znojmo, nám.Komenského
2026-03-30 12:46:23 - ID 80102 - Vonal 801 - Znojmo, nám.Komenského
2026-03-30 12:51:53 - ID 80102 - Vonal 801 - Znojmo, nám.Komenského
2026-03-30 12:57:23 - ID 80102 - Vonal 801 - Znojmo, nám.Komenského
2026-03-30 13:02:53 - ID 80102 - Vonal 801 - Znojmo, Nemocnice
2026-03-30 13:08:23 - ID 80102 - Vonal 801 - Znojmo, Nemocnice
2026-03-30 13:13:23 - ID 80102 - Vonal 801 - Znojmo, Nemocnice
2026-03-30 13:18:53 - ID 80102 - Vonal 801 - Znojmo, Nemocnice
2026-03-30 13:41:23 - ID 80102 - Vonal 801 - Znojmo, Nemocnice
2026-03-30 13:46:23 - ID 80102 - Vonal 801 - Znojmo, Nemocnice
2026-03-30 13:51:23 - ID 80102 - Vonal 801 - Znojmo, Nemocnice
2026-03-30 13:56:53 - ID 80102 - Vonal 801 - Znojmo, Nemocnice
2026-03-30 14:01:53 - ID 80102 - Vonal 801 - Znojmo, Nemocnice
2026-03-30 14:07:23 - ID 80102 - Vonal 801 - Znojmo, Nemocnice
2026-03-30 14:12:53 - ID 80102 - Vonal 801 - Znojmo, Nemocnice
2026-03-30 14:17:54 - ID 80102 - Vonal 801 - Znojmo, a.n.
2026-03-30 14:23:23 - ID 80102 - Vonal 801 - Znojmo, a.n.
2026-03-30 14:28:24 - ID 80102 - Vonal 801 - Znojmo, a.n.
2026-03-30 14:33:54 - ID 80102 - Vonal 801 - Znojmo, a.n.
2026-03-30 14:39:23 - ID 80102 - Vonal 801 - Znojmo, a.n.
2026-03-30 14:44:53 - ID 80102 - Vonal 801 - Kuchařovice, točna
2026-03-30 14:49:54 - ID 80102 - Vonal 801 - Kuchařovice, točna
