2026-03-30 11:44:22 - ID 80406 - Vonal 804 - Znojmo, Oblekovice, točna
2026-03-30 11:49:22 - ID 80406 - Vonal 804 - Znojmo, Oblekovice, točna
2026-03-30 11:54:22 - ID 80406 - Vonal 804 - Znojmo, Oblekovice, točna
2026-03-30 11:59:23 - ID 80406 - Vonal 804 - Znojmo, Oblekovice, točna
2026-03-30 12:04:53 - ID 80406 - Vonal 804 - Znojmo, Oblekovice, točna
2026-03-30 12:09:53 - ID 80406 - Vonal 804 - Znojmo, Oblekovice, točna
2026-03-30 13:36:52 - ID 80406 - Vonal 804 - Znojmo, Přímětice, K Suchopádu
2026-03-30 13:41:53 - ID 80406 - Vonal 804 - Znojmo, Přímětice, K Suchopádu
2026-03-30 13:46:53 - ID 80406 - Vonal 804 - Znojmo, Přímětice, K Suchopádu
2026-03-30 13:52:23 - ID 80406 - Vonal 804 - Znojmo, Přímětice, K Suchopádu
2026-03-30 13:57:23 - ID 80406 - Vonal 804 - Znojmo, Přímětice, K Suchopádu
2026-03-30 14:02:53 - ID 80406 - Vonal 804 - Znojmo, Přímětice, K Suchopádu
2026-03-30 14:07:53 - ID 80406 - Vonal 804 - Znojmo, Přímětice, K Suchopádu
2026-03-30 14:13:23 - ID 80406 - Vonal 804 - Znojmo, Přímětice, K Suchopádu
2026-03-30 14:18:23 - ID 80406 - Vonal 804 - Znojmo, Oblekovice, točna
2026-03-30 14:23:53 - ID 80406 - Vonal 804 - Znojmo, Oblekovice, točna
2026-03-30 14:28:53 - ID 80406 - Vonal 804 - Znojmo, Oblekovice, točna
2026-03-30 14:33:53 - ID 80406 - Vonal 804 - Znojmo, Oblekovice, točna
2026-03-30 14:39:23 - ID 80406 - Vonal 804 - Znojmo, Oblekovice, točna
2026-03-30 14:44:53 - ID 80406 - Vonal 804 - Znojmo, Oblekovice, točna
2026-03-30 14:49:53 - ID 80406 - Vonal 804 - Přímětice, hřbitov
2026-04-10 11:54:29 - ID 80406 - Vonal 804 - Znojmo, Oblekovice, točna
2026-04-10 11:59:54 - ID 80406 - Vonal 804 - Znojmo, Oblekovice, točna
