2026-03-30 12:10:23 - ID 93202 - Vonal 932 - Suchov, točna
2026-03-30 12:15:53 - ID 93202 - Vonal 932 - Suchov, točna
2026-03-30 12:20:53 - ID 93202 - Vonal 932 - Suchov, točna
2026-03-30 12:26:23 - ID 93202 - Vonal 932 - Suchov, točna
2026-03-30 12:31:23 - ID 93202 - Vonal 932 - Suchov, točna
2026-03-30 12:36:53 - ID 93202 - Vonal 932 - Suchov, točna
2026-03-30 12:42:23 - ID 93202 - Vonal 932 - Suchov, točna
2026-03-30 12:47:23 - ID 93202 - Vonal 932 - Suchov, točna
2026-03-30 12:52:53 - ID 93202 - Vonal 932 - Veselí n/M., ž.s.
2026-03-30 12:57:53 - ID 93202 - Vonal 932 - Veselí n/M., ž.s.
2026-03-30 13:03:22 - ID 93202 - Vonal 932 - Veselí n/M., ž.s.
2026-03-30 13:08:23 - ID 93202 - Vonal 932 - Veselí n/M., ž.s.
2026-03-30 13:13:52 - ID 93202 - Vonal 934 - Žeravice, ObÚ
2026-03-30 13:18:53 - ID 93202 - Vonal 934 - Žeravice, ObÚ
2026-03-30 13:30:52 - ID 93202 - Vonal 934 - Žeravice, ObÚ
2026-03-30 13:35:52 - ID 93202 - Vonal 934 - Žeravice, ObÚ
2026-03-30 13:40:53 - ID 93202 - Vonal 934 - Žeravice, ObÚ
2026-03-30 13:46:23 - ID 93202 - Vonal 934 - Žeravice, ObÚ
2026-03-30 13:51:23 - ID 93202 - Vonal 934 - Žeravice, ObÚ
2026-03-30 13:56:52 - ID 93202 - Vonal 934 - Žeravice, ObÚ
2026-03-30 14:01:53 - ID 93202 - Vonal 934 - Žeravice, ObÚ
2026-03-30 14:07:23 - ID 93202 - Vonal 934 - Žeravice, ObÚ
2026-03-30 14:12:52 - ID 93202 - Vonal 934 - Žeravice, ObÚ
2026-03-30 14:17:53 - ID 93202 - Vonal 934 - Žeravice, ObÚ
2026-03-30 14:23:23 - ID 93202 - Vonal 934 - Žeravice, ObÚ
2026-03-30 14:28:23 - ID 93202 - Vonal 934 - Žeravice, ObÚ
2026-03-30 14:33:53 - ID 93202 - Vonal 934 - Žeravice, ObÚ
2026-03-30 14:38:53 - ID 93202 - Vonal 933 - Veselí n/M., ž.s.
