2026-03-30 12:13:53 - ID 61202 - Vonal 612 - Sokolnice, žel.st.
2026-03-30 12:18:53 - ID 61202 - Vonal 612 - Sokolnice, žel.st.
2026-03-30 12:23:53 - ID 61202 - Vonal 612 - Sokolnice, žel.st.
2026-03-30 12:28:53 - ID 61202 - Vonal 612 - Sokolnice, žel.st.
2026-03-30 12:34:23 - ID 61202 - Vonal 612 - Sokolnice, žel.st.
2026-03-30 12:39:23 - ID 61202 - Vonal 612 - Sokolnice, žel.st.
2026-03-30 12:44:52 - ID 61202 - Vonal 612 - Sokolnice, žel.st.
2026-03-30 12:49:53 - ID 61202 - Vonal 612 - Sokolnice, žel.st.
2026-03-30 12:54:53 - ID 61202 - Vonal 612 - Sokolnice, žel.st.
2026-03-30 12:59:53 - ID 61202 - Vonal 612 - Sokolnice, žel.st.
2026-03-30 13:04:53 - ID 61202 - Vonal 612 - Šitbořice, Nikolčická
2026-03-30 13:22:23 - ID 61202 - Vonal 612 - Šitbořice, Nikolčická
2026-03-30 13:27:52 - ID 61202 - Vonal 612 - Šitbořice, Nikolčická
2026-03-30 13:33:22 - ID 61202 - Vonal 612 - Šitbořice, Nikolčická
2026-03-30 13:38:23 - ID 61202 - Vonal 612 - Šitbořice, Nikolčická
2026-03-30 13:43:23 - ID 61202 - Vonal 612 - Šitbořice, Nikolčická
2026-03-30 13:48:53 - ID 61202 - Vonal 612 - Šitbořice, Nikolčická
2026-03-30 13:54:23 - ID 61202 - Vonal 612 - Šitbořice, Nikolčická
2026-03-30 13:59:53 - ID 61202 - Vonal 612 - Sokolnice, žel.st.
2026-03-30 14:05:22 - ID 61202 - Vonal 612 - Sokolnice, žel.st.
2026-03-30 14:10:52 - ID 61202 - Vonal 612 - Sokolnice, žel.st.
2026-03-30 14:15:53 - ID 61202 - Vonal 612 - Sokolnice, žel.st.
2026-03-30 14:21:23 - ID 61202 - Vonal 612 - Sokolnice, žel.st.
2026-03-30 14:26:23 - ID 61202 - Vonal 612 - Boleradice
2026-03-30 14:31:53 - ID 61202 - Vonal 612 - Boleradice
