2026-03-30 12:03:53 - ID 20101 - Vonal 201 - Židenice, nádraží
2026-03-30 12:08:53 - ID 20101 - Vonal 201 - Židenice, nádraží
2026-03-30 12:14:23 - ID 20101 - Vonal 201 - Židenice, nádraží
2026-03-30 12:19:23 - ID 20101 - Vonal 201 - Židenice, nádraží
2026-03-30 12:24:53 - ID 20101 - Vonal 201 - Židenice, nádraží
2026-03-30 12:29:53 - ID 20101 - Vonal 201 - Židenice, nádraží
2026-03-30 12:35:23 - ID 20101 - Vonal 201 - Židenice, nádraží
2026-03-30 12:40:53 - ID 20101 - Vonal 201 - Židenice, nádraží
2026-03-30 12:46:23 - ID 20101 - Vonal 201 - Židenice, nádraží
2026-03-30 12:51:53 - ID 20101 - Vonal 201 - Židenice, nádraží
2026-03-30 12:57:23 - ID 20101 - Vonal 201 - Jedovnice, gar.ČAD
2026-03-30 13:38:23 - ID 20101 - Vonal 201 - Jedovnice, gar.ČAD
2026-03-30 13:43:23 - ID 20101 - Vonal 201 - Jedovnice, gar.ČAD
2026-03-30 14:05:52 - ID 20101 - Vonal 201 - Jedovnice, gar.ČAD
2026-03-30 14:10:52 - ID 20101 - Vonal 201 - Jedovnice, gar.ČAD
2026-03-30 14:15:53 - ID 20101 - Vonal 201 - Jedovnice, gar.ČAD
2026-03-30 14:21:23 - ID 20101 - Vonal 201 - Jedovnice, gar.ČAD
2026-03-30 14:26:23 - ID 20101 - Vonal 201 - Jedovnice, gar.ČAD
2026-03-30 14:31:53 - ID 20101 - Vonal 201 - Jedovnice, gar.ČAD
2026-03-30 14:37:23 - ID 20101 - Vonal 201 - Jedovnice, gar.ČAD
2026-03-30 14:42:23 - ID 20101 - Vonal 201 - Jedovnice, gar.ČAD
2026-03-30 14:47:53 - ID 20101 - Vonal 201 - Jedovnice, gar.ČAD
2026-04-10 12:01:54 - ID 20101 - Vonal 201 - Židenice, nádraží
