2026-03-30 13:52:22 - ID 83003 - Vonal 816 - Vranov n/D., Zám.h.
2026-03-30 13:57:52 - ID 83003 - Vonal 816 - Vranov n/D., Zám.h.
2026-03-30 14:03:22 - ID 83003 - Vonal 816 - Vranov n/D., Zám.h.
2026-03-30 14:08:52 - ID 83003 - Vonal 816 - Vranov n/D., Zám.h.
2026-03-30 14:14:22 - ID 83003 - Vonal 816 - Vranov n/D., Zám.h.
2026-03-30 14:19:22 - ID 83003 - Vonal 816 - Vranov n/D., Zám.h.
2026-03-30 14:24:52 - ID 83003 - Vonal 816 - Vranov n/D., Zám.h.
2026-03-30 14:30:22 - ID 83003 - Vonal 816 - Vranov n/D., Zám.h.
2026-03-30 14:35:22 - ID 83003 - Vonal 830 - Štítary, ObÚ
2026-03-30 14:40:22 - ID 83003 - Vonal 830 - Štítary, ObÚ
2026-03-30 14:45:52 - ID 83003 - Vonal 830 - Štítary, ObÚ
2026-03-30 14:51:22 - ID 83003 - Vonal 830 - Štítary, ObÚ
