2026-03-30 11:42:52 - ID 50501 - Vonal 505 - Rajhrad, žel.st.
2026-03-30 11:47:52 - ID 50501 - Vonal 505 - Rajhrad, žel.st.
2026-03-30 11:52:52 - ID 50501 - Vonal 505 - Rajhrad, žel.st.
2026-03-30 11:57:52 - ID 50501 - Vonal 505 - Židlochovice, žel.st.
2026-03-30 12:03:22 - ID 50501 - Vonal 505 - Židlochovice, žel.st.
2026-03-30 12:08:52 - ID 50501 - Vonal 505 - Židlochovice, žel.st.
2026-03-30 12:14:22 - ID 50501 - Vonal 505 - Rajhrad, žel.st.
2026-03-30 12:23:23 - ID 50501 - Vonal 505 - Rajhrad, žel.st.
2026-03-30 12:28:23 - ID 50501 - Vonal 505 - Rajhrad, žel.st.
2026-03-30 12:41:23 - ID 50501 - Vonal 505 - Rajhrad, žel.st.
2026-03-30 12:46:23 - ID 50501 - Vonal 505 - Rajhrad, žel.st.
2026-03-30 12:51:53 - ID 50501 - Vonal 505 - Rajhrad, žel.st.
2026-03-30 12:57:23 - ID 50501 - Vonal 505 - Židlochovice, žel.st.
2026-03-30 13:02:53 - ID 50501 - Vonal 505 - Židlochovice, žel.st.
2026-03-30 13:08:23 - ID 50501 - Vonal 505 - Židlochovice, žel.st.
2026-03-30 13:13:23 - ID 50501 - Vonal 505 - Modřice, smyčka
2026-03-30 13:18:53 - ID 50501 - Vonal 505 - Modřice, smyčka
2026-03-30 13:24:22 - ID 50501 - Vonal 505 - Modřice, smyčka
2026-03-30 13:29:52 - ID 50501 - Vonal 505 - Modřice, smyčka
2026-03-30 13:35:22 - ID 50501 - Vonal 505 - Modřice, smyčka
2026-03-30 13:40:23 - ID 50501 - Vonal 505 - Židlochovice, žel.st.
2026-03-30 14:05:52 - ID 50501 - Vonal 505 - Židlochovice, žel.st.
2026-03-30 14:10:53 - ID 50501 - Vonal 505 - Židlochovice, žel.st.
2026-03-30 14:15:53 - ID 50501 - Vonal 505 - Židlochovice, žel.st.
2026-03-30 14:21:23 - ID 50501 - Vonal 505 - Židlochovice, žel.st.
2026-03-30 14:26:23 - ID 50501 - Vonal 505 - Modřice, smyčka
2026-03-30 14:31:53 - ID 50501 - Vonal 505 - Modřice, smyčka
2026-03-30 14:37:23 - ID 50501 - Vonal 505 - Modřice, smyčka
2026-03-30 14:42:23 - ID 50501 - Vonal 505 - Modřice, smyčka
2026-03-30 14:47:53 - ID 50501 - Vonal 505 - Modřice, smyčka
2026-04-08 20:19:22 - ID 50501 - Vonal 505 - Rajhrad, žel.st.
2026-04-08 20:20:17 - ID 50501 - Vonal 505 - Rajhrad, žel.st.
2026-04-08 20:21:28 - ID 50501 - Vonal 505 - Rajhrad, žel.st.
2026-04-10 11:54:32 - ID 50501 - Vonal 505 - Rajhrad, žel.st.
2026-04-10 11:59:55 - ID 50501 - Vonal 505 - Židlochovice, žel.st.
