2026-03-30 12:38:23 - ID 14046 - Vonal S4 - Zastávka, žel.st.
2026-03-30 12:43:53 - ID 14046 - Vonal S4 - Zastávka, žel.st.
2026-03-30 12:49:23 - ID 14046 - Vonal S4 - Zastávka, žel.st.
2026-03-30 12:54:53 - ID 14046 - Vonal S4 - Zastávka, žel.st.
2026-03-30 13:34:22 - ID 14046 - Vonal S4 - Zastávka, žel.st.
2026-03-30 13:39:23 - ID 14046 - Vonal S4 - Zastávka, žel.st.
2026-03-30 13:44:53 - ID 14046 - Vonal S4 - Zastávka, žel.st.
2026-03-30 13:50:23 - ID 14046 - Vonal S4 - Zastávka, žel.st.
2026-03-30 13:55:53 - ID 14046 - Vonal S4 - Zastávka, žel.st.
2026-03-30 14:01:23 - ID 14046 - Vonal S4 - Zastávka, žel.st.
2026-03-30 14:06:23 - ID 14046 - Vonal S4 - Zastávka, žel.st.
2026-03-30 14:11:52 - ID 14046 - Vonal S4 - Zastávka, žel.st.
2026-03-30 14:16:53 - ID 14046 - Vonal S4 - Zastávka, žel.st.
2026-03-30 14:22:23 - ID 14046 - Vonal S4 - Zastávka, žel.st.
