2026-03-30 13:05:22 - ID 14631 - Vonal S6 - Veselí n/M., ž.s.
2026-03-30 13:10:22 - ID 14631 - Vonal S6 - Veselí n/M., ž.s.
2026-03-30 13:15:52 - ID 14631 - Vonal S6 - Veselí n/M., ž.s.
2026-03-30 13:20:52 - ID 14631 - Vonal S6 - Veselí n/M., ž.s.
2026-03-30 13:26:22 - ID 14631 - Vonal S6 - Veselí n/M., ž.s.
2026-03-30 13:31:22 - ID 14631 - Vonal S6 - Veselí n/M., ž.s.
2026-03-30 13:36:52 - ID 14631 - Vonal S91 - Strážnice, aut. st.
2026-03-30 13:41:52 - ID 14631 - Vonal S91 - Strážnice, aut. st.
2026-03-30 13:46:53 - ID 14631 - Vonal S91 - Strážnice, aut. st.
2026-03-30 13:52:22 - ID 14631 - Vonal S91 - Strážnice, aut. st.
2026-03-30 13:57:23 - ID 14631 - Vonal S91 - Strážnice, aut. st.
2026-03-30 14:02:52 - ID 14631 - Vonal S91 - Strážnice, aut. st.
