2026-03-30 11:41:22 - ID 12002 - Vonal S2 - Křenovice, hor.ž.s.
2026-03-30 11:46:52 - ID 12002 - Vonal S2 - Rájec-Jestřebí ž.s.
2026-03-30 11:52:22 - ID 12002 - Vonal S2 - Rájec-Jestřebí ž.s.
2026-03-30 11:57:52 - ID 12002 - Vonal S2 - Rájec-Jestřebí ž.s.
2026-03-30 12:03:22 - ID 12002 - Vonal S2 - Rájec-Jestřebí ž.s.
2026-03-30 12:08:52 - ID 12002 - Vonal S2 - Rájec-Jestřebí ž.s.
2026-03-30 12:14:22 - ID 12002 - Vonal S2 - Rájec-Jestřebí ž.s.
2026-03-30 12:19:52 - ID 12002 - Vonal S2 - Rájec-Jestřebí ž.s.
2026-03-30 12:24:52 - ID 12002 - Vonal S2 - Rájec-Jestřebí ž.s.
2026-03-30 12:29:52 - ID 12002 - Vonal S2 - Rájec-Jestřebí ž.s.
2026-03-30 12:35:22 - ID 12002 - Vonal S2 - Rájec-Jestřebí ž.s.
2026-03-30 12:40:52 - ID 12002 - Vonal S2 - Rájec-Jestřebí ž.s.
2026-03-30 12:46:22 - ID 12002 - Vonal S2 - Rájec-Jestřebí ž.s.
2026-03-30 12:51:52 - ID 12002 - Vonal S2 - Rájec-Jestřebí ž.s.
2026-03-30 12:56:52 - ID 12002 - Vonal S2 - Rájec-Jestřebí ž.s.
2026-03-30 13:01:52 - ID 12002 - Vonal S2 - Rájec-Jestřebí ž.s.
2026-03-30 13:07:22 - ID 12002 - Vonal S2 - Rájec-Jestřebí ž.s.
2026-03-30 13:12:52 - ID 12002 - Vonal S2 - Rájec-Jestřebí ž.s.
2026-03-30 13:18:22 - ID 12002 - Vonal S2 - Sokolnice, žel.st.
2026-03-30 13:23:52 - ID 12002 - Vonal S2 - Sokolnice, žel.st.
2026-03-30 13:28:52 - ID 12002 - Vonal S2 - Sokolnice, žel.st.
2026-03-30 13:33:52 - ID 12002 - Vonal S2 - Sokolnice, žel.st.
2026-03-30 13:39:22 - ID 12002 - Vonal S2 - Sokolnice, žel.st.
2026-03-30 13:44:22 - ID 12002 - Vonal S2 - Sokolnice, žel.st.
2026-03-30 13:49:22 - ID 12002 - Vonal S2 - Sokolnice, žel.st.
2026-03-30 13:54:52 - ID 12002 - Vonal S2 - Sokolnice, žel.st.
2026-03-30 14:00:22 - ID 12002 - Vonal S2 - Sokolnice, žel.st.
2026-03-30 14:05:52 - ID 12002 - Vonal S2 - Sokolnice, žel.st.
2026-03-30 14:10:52 - ID 12002 - Vonal S2 - Sokolnice, žel.st.
2026-03-30 14:15:52 - ID 12002 - Vonal S2 - Sokolnice, žel.st.
2026-03-30 14:20:52 - ID 12002 - Vonal S2 - Sokolnice, žel.st.
2026-03-30 14:26:22 - ID 12002 - Vonal S2 - Sokolnice, žel.st.
2026-03-30 14:31:52 - ID 12002 - Vonal S2 - Sokolnice, žel.st.
2026-03-30 14:37:22 - ID 12002 - Vonal S2 - Sokolnice, žel.st.
2026-03-30 14:42:52 - ID 12002 - Vonal S2 - Sokolnice, žel.st.
2026-03-30 14:48:22 - ID 12002 - Vonal S2 - Sokolnice, žel.st.
2026-04-08 20:15:14 - ID 12007 - Vonal S2 - Letovice, žel.st.
2026-04-08 20:18:52 - ID 12007 - Vonal S2 - Letovice, žel.st.
2026-04-08 20:20:16 - ID 12007 - Vonal S2 - Letovice, žel.st.
2026-04-08 20:21:28 - ID 12007 - Vonal S2 - Letovice, žel.st.
