2026-03-30 12:20:52 - ID 13021 - Vonal S3 - Židlochovice, žel.st.
2026-03-30 12:25:52 - ID 13021 - Vonal S3 - Židlochovice, žel.st.
2026-03-30 12:31:22 - ID 13021 - Vonal S3 - Židlochovice, žel.st.
2026-03-30 12:36:22 - ID 13021 - Vonal S3 - Židlochovice, žel.st.
2026-03-30 12:41:52 - ID 13021 - Vonal S3 - Židlochovice, žel.st.
2026-03-30 12:47:22 - ID 13021 - Vonal S3 - Židlochovice, žel.st.
2026-03-30 12:52:52 - ID 13021 - Vonal S3 - Židlochovice, žel.st.
2026-03-30 12:58:22 - ID 13021 - Vonal S3 - Židlochovice, žel.st.
2026-03-30 13:03:22 - ID 13021 - Vonal S3 - Židlochovice, žel.st.
2026-03-30 13:08:22 - ID 13021 - Vonal S3 - Židlochovice, žel.st.
2026-03-30 13:13:52 - ID 13021 - Vonal S3 - Židlochovice, žel.st.
2026-03-30 13:19:22 - ID 13021 - Vonal S3 - Židlochovice, žel.st.
2026-03-30 13:24:52 - ID 13021 - Vonal S3 - Židlochovice, žel.st.
2026-03-30 13:29:52 - ID 13021 - Vonal S3 - Židlochovice, žel.st.
2026-03-30 13:35:22 - ID 13021 - Vonal S3 - Židlochovice, žel.st.
2026-03-30 13:40:22 - ID 13021 - Vonal S3 - Židlochovice, žel.st.
2026-03-30 13:45:22 - ID 13021 - Vonal S3 - Židlochovice, žel.st.
2026-03-30 13:50:22 - ID 13021 - Vonal S3 - Židlochovice, žel.st.
2026-03-30 13:55:52 - ID 13021 - Vonal S3 - Židlochovice, žel.st.
2026-03-30 14:00:52 - ID 13021 - Vonal S3 - Židlochovice, žel.st.
2026-03-30 14:06:22 - ID 13021 - Vonal S3 - Židlochovice, žel.st.
2026-03-30 14:11:52 - ID 13021 - Vonal S3 - Židlochovice, žel.st.
2026-03-30 14:16:52 - ID 13021 - Vonal S3 - Židlochovice, žel.st.
2026-03-30 14:21:52 - ID 13021 - Vonal S3 - Tišnov, žel.st.
2026-03-30 14:27:22 - ID 13021 - Vonal S3 - Tišnov, žel.st.
2026-03-30 14:32:22 - ID 13021 - Vonal S3 - Tišnov, žel.st.
2026-03-30 14:37:22 - ID 13021 - Vonal S3 - Tišnov, žel.st.
2026-03-30 14:42:52 - ID 13021 - Vonal S3 - Tišnov, žel.st.
2026-03-30 14:48:22 - ID 13021 - Vonal S3 - Tišnov, žel.st.
2026-04-08 20:15:18 - ID 13001 - Vonal S3 - Hustopeče, a.n.
2026-04-08 20:18:52 - ID 13001 - Vonal S3 - Hustopeče, a.n.
2026-04-08 20:20:17 - ID 13001 - Vonal S3 - Hustopeče, a.n.
2026-04-08 20:21:28 - ID 13001 - Vonal S3 - Hustopeče, a.n.
2026-04-10 11:54:27 - ID 13013 - Vonal S3 - Židlochovice, žel.st.
2026-04-10 11:59:54 - ID 13013 - Vonal S3 - Židlochovice, žel.st.
