2026-03-30 13:00:53 - ID 13022 - Vonal S3 - Tišnov, žel.st.
2026-03-30 13:06:23 - ID 13022 - Vonal S3 - Tišnov, žel.st.
2026-03-30 13:11:53 - ID 13022 - Vonal S3 - Tišnov, žel.st.
2026-03-30 13:17:22 - ID 13022 - Vonal S3 - Tišnov, žel.st.
2026-03-30 13:22:23 - ID 13022 - Vonal S3 - Tišnov, žel.st.
2026-03-30 13:27:52 - ID 13022 - Vonal S3 - Tišnov, žel.st.
2026-03-30 13:33:22 - ID 13022 - Vonal S3 - Tišnov, žel.st.
2026-03-30 13:38:23 - ID 13022 - Vonal S3 - Tišnov, žel.st.
2026-03-30 13:43:23 - ID 13022 - Vonal S3 - Tišnov, žel.st.
2026-03-30 13:48:53 - ID 13022 - Vonal S3 - Tišnov, žel.st.
2026-03-30 13:54:23 - ID 13022 - Vonal S3 - Tišnov, žel.st.
2026-03-30 13:59:53 - ID 13022 - Vonal S3 - Tišnov, žel.st.
2026-03-30 14:05:23 - ID 13022 - Vonal S3 - Tišnov, žel.st.
2026-03-30 14:10:53 - ID 13022 - Vonal S3 - Tišnov, žel.st.
2026-03-30 14:15:54 - ID 13022 - Vonal S3 - Tišnov, žel.st.
2026-03-30 14:21:23 - ID 13022 - Vonal S3 - Tišnov, žel.st.
2026-03-30 14:26:24 - ID 13022 - Vonal S3 - Tišnov, žel.st.
2026-03-30 14:29:23 - ID 13020 - Vonal S3 - Židlochovice, žel.st.
2026-03-30 14:34:23 - ID 13020 - Vonal S3 - Židlochovice, žel.st.
2026-03-30 14:39:53 - ID 13020 - Vonal S3 - Židlochovice, žel.st.
2026-03-30 14:45:23 - ID 13020 - Vonal S3 - Židlochovice, žel.st.
2026-03-30 14:50:53 - ID 13020 - Vonal S3 - Židlochovice, žel.st.
2026-04-10 11:54:24 - ID 13004 - Vonal S3 - Křižanov
2026-04-10 11:59:54 - ID 13004 - Vonal S3 - Křižanov
